ID,falsto_name,globalid,year
483,Kreuther_Forst_1,C7D6C766-95AD-4295-9E6B-38D2000D6F7A,2021
484,Kreuther_Forst_2,CC627A13-F997-4D12-AB1B-6208D8D17661,2015
485,Kreuther_Forst_2,CC627A13-F997-4D12-AB1B-6208D8D17661,2016
486,Kreuther_Forst_2,CC627A13-F997-4D12-AB1B-6208D8D17661,2017
487,Kreuther_Forst_2,CC627A13-F997-4D12-AB1B-6208D8D17661,2018
488,Kreuther_Forst_2,CC627A13-F997-4D12-AB1B-6208D8D17661,2019
489,Kreuther_Forst_2,CC627A13-F997-4D12-AB1B-6208D8D17661,2020
490,Kreuther_Forst_2,CC627A13-F997-4D12-AB1B-6208D8D17661,2021
491,Kronach_1,B15C2C48-1087-4B40-87D4-5A9672406FEB,2015
492,Kronach_1,B15C2C48-1087-4B40-87D4-5A9672406FEB,2016
493,Kronach_1,B15C2C48-1087-4B40-87D4-5A9672406FEB,2017
494,Kronach_1,B15C2C48-1087-4B40-87D4-5A9672406FEB,2018
495,Kronach_1,B15C2C48-1087-4B40-87D4-5A9672406FEB,2019
496,Kronach_1,3145C0E0-DDAF-4556-BD2C-6B904750E701,2020
497,Kronach_1,3145C0E0-DDAF-4556-BD2C-6B904750E701,2021
498,Kronach_2,7E141D74-306E-4666-8D95-557869BA56EB,2015
499,Kronach_2,7E141D74-306E-4666-8D95-557869BA56EB,2016
500,Kronach_2,7E141D74-306E-4666-8D95-557869BA56EB,2017
501,Kronach_2,7E141D74-306E-4666-8D95-557869BA56EB,2018
502,Kronach_2,7E141D74-306E-4666-8D95-557869BA56EB,2019
503,Kronach_2,527ADE55-8AD2-484B-B2BD-760C20CF1E8C,2020
504,Kronach_2,527ADE55-8AD2-484B-B2BD-760C20CF1E8C,2021
505,Lam_1,933E55B3-4FD9-4754-9240-917E34D5E8B5,2015
506,Lam_1,933E55B3-4FD9-4754-9240-917E34D5E8B5,2016
507,Lam_1,933E55B3-4FD9-4754-9240-917E34D5E8B5,2017
508,Lam_1,933E55B3-4FD9-4754-9240-917E34D5E8B5,2018
509,Lam_1,933E55B3-4FD9-4754-9240-917E34D5E8B5,2019
510,Lam_1,933E55B3-4FD9-4754-9240-917E34D5E8B5,2020
511,Lam_1,933E55B3-4FD9-4754-9240-917E34D5E8B5,2021
512,Lam_2,7D1B5D66-EB63-44FA-A396-53309BDFB0E7,2015
513,Lam_2,A5FFD1BD-F26A-4A23-8710-52FE27FA0EAD,2016
514,Lam_2,A5FFD1BD-F26A-4A23-8710-52FE27FA0EAD,2017
515,Lam_2,A5FFD1BD-F26A-4A23-8710-52FE27FA0EAD,2018
516,Lam_2,A5FFD1BD-F26A-4A23-8710-52FE27FA0EAD,2019
517,Lam_2,A1E046E4-3697-4691-9569-A96E50ACC623,2020
518,Lam_2,A1E046E4-3697-4691-9569-A96E50ACC623,2021
519,Ludwigsstadt_1,6B9E8ADD-EA1F-4B68-922D-C610F20E4576,2015
520,Ludwigsstadt_1,6B9E8ADD-EA1F-4B68-922D-C610F20E4576,2016
521,Ludwigsstadt_1,6B9E8ADD-EA1F-4B68-922D-C610F20E4576,2017
522,Ludwigsstadt_1,6B9E8ADD-EA1F-4B68-922D-C610F20E4576,2018
523,Ludwigsstadt_1,6B9E8ADD-EA1F-4B68-922D-C610F20E4576,2019
524,Ludwigsstadt_1,6B9E8ADD-EA1F-4B68-922D-C610F20E4576,2020
525,Ludwigsstadt_1,6B9E8ADD-EA1F-4B68-922D-C610F20E4576,2021
526,Ludwigsstadt_2,2437E20B-2831-4558-A2D7-3EFB18AE5DFE,2015
527,Ludwigsstadt_2,2437E20B-2831-4558-A2D7-3EFB18AE5DFE,2016
528,Ludwigsstadt_2,2437E20B-2831-4558-A2D7-3EFB18AE5DFE,2017
529,Ludwigsstadt_2,2437E20B-2831-4558-A2D7-3EFB18AE5DFE,2018
530,Ludwigsstadt_2,2437E20B-2831-4558-A2D7-3EFB18AE5DFE,2019
531,Ludwigsstadt_2,2437E20B-2831-4558-A2D7-3EFB18AE5DFE,2020
532,Ludwigsstadt_2,2437E20B-2831-4558-A2D7-3EFB18AE5DFE,2021
